Depth (m),qc (MPa)
30.32,10.3390
30.34,10.4090
30.36,10.3940
30.38,10.3090
30.4,10.5030
30.42,10.8340
30.44,11.0750
30.46,11.3020
30.48,11.8520
30.5,12.1730
30.52,12.5900
30.54,12.8510
30.56,12.8570
30.58,12.8640
30.6,12.9080
30.62,12.9230
30.64,13.0260
30.66,13.3680
30.68,13.8580
30.7,13.8940
30.72,13.6460
30.74,13.5880
30.76,13.9990
30.78,14.4460
30.8,15.3900
30.82,16.6610
30.84,18.1170
30.86,18.8540
30.88,19.4180
30.9,20.3490
30.92,20.7970
30.94,21.3300
30.96,21.9060
30.98,22.3930
31,22.6410
31.02,22.6820
31.04,22.9570
31.06,23.0280
